school_name,state,number_of_ratings,facilities,location,happiness,opportunities,clubs,social,safety,food,internet
East Stroudsburg University,Pennsylvania,197.0,3.2,3.2,3.4,3.1,3.3,3.1,2.7,2.7,2.7
East Tennessee State University,Tennessee,442.0,3.9,3.9,3.9,3.5,3.4,3.4,3.8,3.1,3.4
Earlham College,Indiana,48.0,3.7,2.7,4.1,3.7,3.4,3.4,4.0,2.6,3.5
East Texas Baptist University,Texas,24.0,3.8,2.8,3.9,3.2,2.7,3.3,2.7,2.0,2.7
Eastern Connecticut State University,Connecticut,249.0,3.9,2.9,3.8,3.5,3.6,3.2,3.8,2.6,3.0
Eastern Illinois University,Illinois,233.0,4.0,3.5,4.2,3.8,3.7,3.8,4.3,3.3,3.6
EKU,Kentucky,370.0,3.8,3.9,4.1,3.7,3.5,3.7,4.1,3.2,3.2
Eastern Mennonite University,Virginia,30.0,3.6,3.8,3.8,3.3,3.0,3.0,4.2,2.7,3.8
Eastern Nazarene College,Massachusetts,22.0,3.2,3.6,2.4,2.5,2.5,2.5,3.2,1.7,2.1
Eastern New Mexico University,New Mexico,61.0,3.5,2.8,3.5,3.3,3.1,3.2,4.5,3.0,3.2
Eastern Michigan University,Michigan,652.0,3.6,3.2,3.6,3.4,3.3,3.2,2.9,2.8,3.2
Eastern Oregon University,Oregon,54.0,3.6,3.5,3.9,3.2,3.3,3.1,4.0,3.0,3.6
Eastern Washington University,Washington,340.0,4.0,3.5,3.8,3.4,3.4,3.4,4.1,3.1,3.6
Edgewood College,Wisconsin,85.0,3.5,4.2,3.6,3.5,3.2,3.1,4.0,2.8,3.4
East-West University,Illinois,9.0,2.9,3.7,3.1,2.9,2.8,2.9,3.7,2.9,3.2
Elizabeth City State University,North Carolina,38.0,2.9,2.7,3.0,3.4,3.1,3.2,2.9,2.7,3.1
Eckerd College,Florida,108.0,4.0,4.6,4.3,3.9,4.1,4.2,3.5,2.7,3.2
Elmhurst University,Illinois,166.0,3.8,4.1,3.9,3.7,3.4,3.0,4.2,3.0,3.5
Elizabethtown College,Pennsylvania,72.0,4.1,3.4,4.1,3.8,3.7,3.6,4.6,3.8,3.6
Elmira College,New York,44.0,4.0,2.5,3.2,3.2,3.2,3.0,3.1,2.6,2.6
Emerson College,Massachusetts,180.0,3.4,4.5,3.7,4.2,3.9,3.2,3.2,2.6,3.4
Elon University,North Carolina,317.0,4.6,3.5,4.4,4.4,4.2,4.0,4.5,3.8,3.9
Embry-Riddle Aeronautical University,Arizona,110.0,3.3,3.3,3.3,4.3,3.5,2.6,4.5,2.0,2.5
Emmanuel College,Massachusetts,110.0,3.7,4.7,3.5,3.6,3.3,2.9,3.9,3.6,3.4
Emmaus Bible College,Iowa,9.0,3.0,3.3,3.8,3.2,1.9,3.1,4.6,3.1,2.6
Emory University,Georgia,328.0,4.6,4.3,4.2,4.4,4.0,3.7,4.7,3.4,3.9
Emporia State University,Kansas,60.0,4.1,3.5,4.1,3.6,3.5,3.6,4.6,2.9,3.4
Endicott College,Massachusetts,115.0,4.0,4.3,3.6,4.1,3.3,3.1,4.2,2.6,2.5
Evergreen State College,Washington,99.0,3.9,4.3,4.1,3.7,3.3,3.3,3.4,2.7,3.5
Erskine College,South Carolina,14.0,3.6,2.4,3.2,3.2,2.3,3.1,4.1,2.6,2.9
The New School for Social Research,New York,7.0,3.1,4.9,3.9,2.9,2.0,2.7,4.3,2.3,3.4
Gannon University,Pennsylvania,130.0,3.4,3.1,3.7,3.7,3.4,3.5,2.9,3.0,3.0
